               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13058,            0.075716,                   0,          0.00033333,           0.0072202,           0.0001679,          5.0309e-05,             0.13238,            0.065163,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12597,            0.081767,                   0,               0.001,            0.021661,          0.00051514,          0.00010233,               0.125,            0.065437,                   0,            0.093672,          0.00067228,          0.00067228
                   2,             0.10963,            0.087882,                   0,           0.0048333,             0.10469,           0.0026959,          0.00057696,              0.1152,            0.072235,                   0,            0.090013,           0.0010129,           0.0010129
                   3,             0.10675,            0.084476,                   0,             0.10523,             0.14801,            0.048522,           0.0087729,              0.1012,            0.079102,                   0,            0.086322,           0.0013218,           0.0013218
                   4,             0.10286,            0.076953,                   0,             0.26379,             0.33213,             0.18884,             0.03691,              0.1031,            0.074978,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.096175,            0.078755,                   0,             0.15088,             0.28881,             0.10383,            0.020806,            0.098933,            0.072124,                   0,            0.078845,           0.0018446,           0.0018446
                   6,            0.090478,            0.070941,                   0,             0.22741,             0.48375,             0.17691,             0.03678,            0.089708,             0.07962,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.086744,            0.066213,                   0,             0.10442,             0.48375,            0.083797,            0.023226,             0.10917,            0.093739,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.082977,            0.067518,                   0,             0.39238,             0.48014,             0.41175,             0.11334,             0.07991,            0.086048,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.079258,            0.067052,                   0,               0.217,             0.44404,             0.20992,            0.059271,            0.095093,            0.089439,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.074229,            0.071388,                   0,             0.18686,             0.44404,                0.18,            0.057261,            0.087731,            0.089096,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.073643,            0.067108,                   0,             0.19273,             0.59567,             0.16894,            0.049913,            0.080214,             0.08688,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.070271,            0.070778,                   0,             0.15781,             0.49819,             0.15007,            0.039767,             0.08698,            0.079735,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.068131,            0.065474,                   0,             0.22548,             0.46979,             0.20961,            0.064103,             0.07973,            0.075886,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.068924,            0.071233,                   0,             0.40999,             0.48666,             0.39417,             0.13036,            0.074382,            0.074852,                   0,            0.043629,            0.002629,            0.002629
                  15,             0.06742,            0.075919,                   0,             0.48212,             0.60289,             0.50869,             0.17981,            0.076766,            0.074181,                   0,            0.039558,           0.0025578,           0.0025578
                  16,            0.063887,            0.069816,                   0,             0.38055,             0.50181,             0.37996,             0.11848,             0.07343,             0.07346,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.063721,            0.069417,                   0,             0.34033,             0.57762,               0.375,             0.12737,            0.071014,            0.070869,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.063912,            0.065112,                   0,             0.39164,             0.62052,             0.46067,             0.16843,            0.066618,            0.069988,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.058597,            0.071279,                   0,             0.41283,             0.65704,             0.45569,             0.17076,            0.065053,            0.071007,                   0,            0.022956,            0.001956,            0.001956
                  20,             0.05449,            0.066498,                   0,             0.48632,             0.67331,               0.511,             0.20382,            0.057861,            0.070259,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.055999,            0.059479,                   0,             0.51505,             0.63899,             0.58502,             0.23414,            0.055889,            0.068993,                   0,            0.014465,           0.0014651,           0.0014651
                  22,            0.052382,              0.0657,                   0,             0.55362,             0.70743,             0.62593,             0.24741,            0.056296,            0.068066,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.053071,            0.066016,                   0,             0.61111,             0.72202,             0.69794,             0.30178,            0.050527,            0.068329,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.049557,            0.062785,                   0,             0.66766,             0.75812,             0.74426,             0.31945,            0.048923,            0.067848,                   0,            0.001491,          0.00049104,          0.00049104
