               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12897,            0.093887,                   0,          0.00016667,           0.0036101,          8.4303e-05,          8.4303e-06,             0.12958,             0.08165,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12357,            0.099599,                   0,          0.00066667,             0.01444,          0.00033901,          9.2651e-05,             0.12269,            0.081277,                   0,            0.093672,          0.00067228,          0.00067228
                   2,             0.11571,             0.10707,                   0,            0.010833,             0.23466,           0.0085972,           0.0017845,             0.10906,            0.092823,                   0,            0.090013,           0.0010129,           0.0010129
                   3,             0.10522,             0.10355,                   0,            0.076769,             0.30325,            0.049146,           0.0098681,              0.1001,            0.097712,                   0,            0.086322,           0.0013218,           0.0013218
                   4,             0.10042,            0.092162,                   0,             0.33143,             0.44765,             0.25789,            0.053454,            0.093192,            0.088693,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.095533,             0.09073,                   0,             0.16659,             0.48375,             0.12397,            0.026173,            0.089594,            0.090016,                   0,            0.078845,           0.0018446,           0.0018446
                   6,             0.08712,            0.080784,                   0,              0.1452,             0.52347,             0.12067,            0.029757,            0.094109,            0.097833,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.084999,            0.075576,                   0,             0.10417,             0.56318,            0.090375,             0.02608,             0.09888,             0.11044,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.080099,            0.077155,                   0,             0.30776,             0.62816,             0.30545,            0.099257,            0.078034,            0.097037,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.076378,             0.07582,                   0,             0.22354,             0.55235,             0.23333,            0.069633,            0.086711,            0.094669,                   0,             0.06351,             0.00251,             0.00251
                  10,             0.07437,            0.080986,                   0,             0.33525,             0.61372,             0.31983,            0.093287,            0.073749,            0.088231,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.072174,            0.076358,                   0,             0.47492,             0.67509,             0.55893,             0.17121,            0.077596,            0.089626,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.071501,            0.079712,                   0,             0.16569,             0.61011,             0.16107,            0.054403,             0.08287,            0.089132,                   0,            0.051676,           0.0026765,           0.0026765
                  13,             0.06667,            0.071925,                   0,             0.25913,             0.37906,             0.24156,            0.071306,            0.082176,            0.084282,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.070886,            0.081089,                   0,             0.31779,             0.41155,             0.30822,            0.099146,            0.078501,            0.084243,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.066459,            0.085313,                   0,             0.39736,             0.57762,             0.46028,             0.16302,            0.075079,             0.08365,                   0,            0.039558,           0.0025578,           0.0025578
                  16,            0.062927,            0.078214,                   0,             0.34552,             0.48014,             0.39052,             0.13046,            0.072013,            0.084979,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.062352,            0.077249,                   0,             0.33342,             0.59928,             0.37018,             0.11827,             0.06714,             0.08254,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.064124,            0.073211,                   0,             0.46252,             0.66065,             0.52617,             0.19345,            0.062412,            0.080068,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.057229,            0.079393,                   0,             0.51318,              0.6426,             0.58961,             0.22406,            0.057923,            0.080101,                   0,            0.022956,            0.001956,            0.001956
                  20,            0.056257,            0.075675,                   0,             0.48975,             0.69675,             0.55816,             0.23164,            0.054189,            0.079574,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.054531,            0.066377,                   0,             0.50854,             0.70229,             0.64631,             0.27311,            0.052842,            0.078146,                   0,            0.014465,           0.0014651,           0.0014651
                  22,             0.05109,            0.072444,                   0,             0.52327,             0.72515,             0.61538,             0.26472,            0.052172,            0.078344,                   0,            0.010172,           0.0011721,           0.0011721
                  23,             0.05188,            0.073208,                   0,             0.57914,             0.71119,             0.69304,             0.29727,            0.048924,            0.078723,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.049348,            0.068904,                   0,             0.63704,             0.75451,             0.72189,             0.31452,             0.04683,            0.078173,                   0,            0.001491,          0.00049104,          0.00049104
