               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10775,             0.10295,                   0,            0.027333,             0.59206,            0.029214,            0.006861,             0.11709,            0.078393,                   0,              0.0946,              0.0006,              0.0006
                   1,            0.086872,            0.079122,                   0,            0.066647,             0.40794,              0.0503,            0.011115,             0.12777,             0.21319,                   0,            0.088249,           0.0012485,           0.0012485
                   2,            0.082228,             0.07787,                   0,            0.028553,             0.26354,            0.017461,           0.0040964,             0.13163,             0.57208,                   0,            0.081842,           0.0018416,           0.0018416
                   3,            0.074772,            0.078969,                   0,            0.043463,             0.57401,            0.037313,           0.0087047,             0.12815,             0.57313,                   0,            0.075379,           0.0023792,           0.0023792
                   4,            0.067728,            0.069094,                   0,            0.032667,             0.70758,            0.028608,           0.0063645,             0.12552,              1.0767,                   0,            0.068861,           0.0028614,           0.0028614
                   5,            0.063815,            0.080043,                   0,            0.051177,             0.18051,            0.038789,           0.0089987,              0.1252,             0.98183,                   0,            0.062288,           0.0032882,           0.0032882
                   6,            0.064268,            0.070109,                   0,            0.035005,             0.73285,            0.033049,           0.0097864,             0.12383,              1.1975,                   0,             0.05566,           0.0036595,           0.0036595
                   7,            0.061342,            0.077486,                   0,            0.042728,             0.80144,            0.041376,            0.011718,             0.11163,              1.0004,                   0,            0.048975,           0.0039754,           0.0039754
                   8,            0.060176,            0.077124,                   0,            0.076762,             0.73285,            0.091812,            0.027568,            0.099904,             0.50019,                   0,            0.042236,           0.0042358,           0.0042358
                   9,            0.058487,            0.072149,                   0,            0.098716,               0.787,             0.12283,            0.037145,            0.092429,             0.39995,                   0,            0.035441,           0.0044408,           0.0044408
                  10,            0.063941,            0.083054,                   0,            0.093921,             0.85921,             0.12552,            0.034208,            0.094516,              0.3749,                   0,             0.02859,           0.0045904,           0.0045904
                  11,            0.059342,             0.07695,                   0,            0.081755,             0.86282,            0.084161,            0.028642,            0.082618,             0.58698,                   0,            0.021685,           0.0046845,           0.0046845
                  12,            0.058086,            0.076292,                   0,            0.082771,             0.82584,             0.10502,            0.033599,            0.078144,              0.3999,                   0,            0.014723,           0.0047232,           0.0047232
                  13,            0.055721,            0.077232,                   0,             0.16935,             0.61733,              0.1899,            0.058321,            0.068457,             0.25835,                   0,           0.0077064,           0.0047064,           0.0047064
                  14,            0.054564,            0.079814,                   0,             0.22175,             0.72924,             0.22572,            0.073344,            0.064382,             0.30423,                   0,            0.004456,            0.004456,            0.004456
                  15,            0.052582,            0.074739,                   0,             0.37623,             0.68592,              0.4085,             0.12769,            0.064449,             0.17881,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.051872,            0.068125,                   0,             0.40094,             0.67148,             0.43786,             0.13464,            0.062695,             0.13669,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.050701,            0.077374,                   0,             0.40384,             0.83032,             0.50512,             0.16265,            0.056142,             0.10337,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.050717,            0.071361,                   0,             0.62051,              0.8205,             0.70262,             0.24076,            0.054587,            0.097229,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.050045,            0.069745,                   0,             0.79875,              0.8917,             0.88901,             0.36729,            0.048837,             0.09178,                   0,            0.002872,            0.002872,            0.002872
                  20,             0.04756,            0.075728,                   0,             0.85173,             0.90253,             0.90518,              0.3556,            0.050457,            0.089577,                   0,            0.002476,            0.002476,            0.002476
                  21,             0.04692,            0.073578,                   0,             0.85074,             0.88087,             0.88856,             0.36031,            0.046681,            0.083123,                   0,             0.00208,             0.00208,             0.00208
                  22,              0.0465,            0.068047,                   0,             0.86963,             0.89531,             0.91177,             0.41525,            0.044308,            0.080376,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.044235,            0.066825,                   0,             0.90131,             0.88448,             0.92083,               0.421,            0.046052,            0.079579,                   0,            0.001288,            0.001288,            0.001288
                  24,             0.04495,            0.068285,                   0,             0.92814,             0.89531,             0.93097,             0.41747,            0.045246,            0.078503,                   0,            0.000892,            0.000892,            0.000892
