               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12593,            0.076517,                   0,               0.001,            0.021661,           0.0005208,          0.00011109,               0.128,            0.065407,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.11745,            0.082795,                   0,           0.0088333,             0.19134,           0.0073892,           0.0014207,             0.11421,            0.078087,                   0,            0.077401,            0.002401,            0.002401
                   2,             0.10837,            0.085754,                   0,             0.22524,             0.25993,                0.13,            0.026237,             0.10629,             0.06925,                   0,            0.065499,            0.003499,            0.003499
                   3,            0.098863,            0.072221,                   0,             0.38149,              0.5343,             0.35969,             0.10033,            0.091418,            0.087912,                   0,            0.053494,           0.0044941,           0.0044941
                   4,            0.093015,             0.06245,                   0,             0.13595,             0.32852,             0.11095,            0.029045,             0.10417,            0.073374,                   0,            0.041386,           0.0053862,           0.0053862
                   5,            0.096692,            0.063365,                   0,              0.2182,             0.38989,             0.16926,            0.045032,             0.10434,            0.066032,                   0,            0.029175,           0.0061754,           0.0061754
                   6,            0.086602,             0.06441,                   0,             0.11746,             0.58123,             0.10311,            0.026129,             0.10744,            0.068596,                   0,            0.016862,           0.0068616,           0.0068616
                   7,            0.089311,            0.061441,                   0,             0.20852,             0.49458,             0.16697,            0.047228,            0.085221,            0.070307,                   0,            0.007228,            0.007228,            0.007228
                   8,            0.087858,            0.062142,                   0,              0.2808,             0.49097,             0.28066,            0.075352,            0.082604,            0.066764,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.077528,            0.064282,                   0,             0.25402,             0.53791,             0.23004,             0.06455,            0.085318,            0.078815,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.077899,            0.067655,                   0,             0.44376,             0.60289,             0.43166,             0.10098,            0.078195,            0.069557,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.077496,            0.067413,                   0,             0.29347,             0.54152,             0.27727,            0.081248,            0.080521,            0.072508,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.071294,            0.066209,                   0,             0.51971,             0.67509,             0.55638,             0.19797,             0.06691,            0.068043,                   0,            0.005644,            0.005644,            0.005644
                  13,             0.06466,            0.070074,                   0,              0.4416,             0.62455,             0.47623,             0.16031,            0.072338,            0.074585,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.067379,            0.068789,                   0,             0.46269,             0.70036,             0.52383,             0.16253,            0.065894,            0.064912,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.063694,            0.065152,                   0,             0.43339,              0.7428,             0.47991,             0.17666,            0.063891,            0.066017,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.058789,            0.061644,                   0,             0.43755,             0.76173,             0.54408,             0.22008,            0.059684,            0.066696,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.056926,            0.067044,                   0,             0.57177,             0.80505,             0.66541,             0.27361,            0.054855,            0.067469,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.055612,            0.064268,                   0,             0.47846,             0.79155,             0.55353,             0.21359,            0.055794,            0.066559,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.052979,            0.064414,                   0,             0.68667,             0.81227,             0.75747,             0.32934,             0.05161,            0.065665,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.052125,             0.06879,                   0,             0.74647,             0.82908,             0.81591,             0.33044,            0.047969,            0.065855,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.049995,             0.06783,                   0,             0.64633,             0.80866,             0.70676,             0.28689,            0.052847,            0.065242,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.049497,            0.062783,                   0,             0.72685,             0.84537,              0.7729,             0.28312,            0.050868,            0.065385,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.047573,            0.062887,                   0,             0.82603,              0.8556,             0.87025,             0.37693,            0.045236,            0.064443,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.047393,            0.062389,                   0,             0.87249,              0.8556,             0.90084,             0.40004,            0.043287,            0.063954,                   0,            0.000892,            0.000892,            0.000892
