               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11768,             0.10597,                   0,             0.05105,             0.16968,            0.018354,           0.0028876,             0.10748,             0.11458,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10239,               0.112,                   0,            0.019359,             0.17329,            0.010726,            0.002222,             0.12068,            0.086199,                   0,            0.093672,          0.00067228,          0.00067228
                   2,            0.093421,            0.086351,                   0,            0.044712,              0.3935,            0.029654,           0.0063014,             0.12207,             0.11547,                   0,            0.090013,           0.0010129,           0.0010129
                   3,             0.08892,            0.074547,                   0,            0.022872,             0.16606,            0.016019,           0.0037553,             0.12423,             0.59287,                   0,            0.086322,           0.0013218,           0.0013218
                   4,            0.083448,            0.072349,                   0,            0.046569,            0.068592,            0.021887,           0.0041651,             0.12991,             0.65417,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.076092,            0.081255,                   0,            0.022177,             0.22022,            0.015028,           0.0030639,             0.13782,             0.55345,                   0,            0.078845,           0.0018446,           0.0018446
                   6,            0.068875,            0.074291,                   0,            0.028342,             0.31769,            0.017812,           0.0038798,             0.13526,              0.4743,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.066913,             0.07447,                   0,               0.026,             0.56318,            0.020432,           0.0049915,             0.13908,              1.5293,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.064871,            0.076415,                   0,            0.036382,             0.76173,            0.032525,           0.0080929,             0.12833,             0.91147,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.062386,            0.075809,                   0,            0.035218,              0.6937,              0.0326,           0.0075623,             0.12475,              1.0875,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.058491,            0.079553,                   0,            0.030667,             0.66426,            0.026666,           0.0069896,             0.12381,              1.8186,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.057335,            0.075679,                   0,            0.021667,             0.46931,            0.016833,           0.0039768,             0.11958,              2.1022,                   0,            0.055653,           0.0026527,           0.0026527
                  12,             0.05906,            0.080123,                   0,            0.032246,             0.65704,            0.028743,           0.0069469,             0.11487,              1.3379,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.053313,            0.069254,                   0,            0.045129,             0.72202,            0.047517,            0.012999,             0.10816,             0.87381,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.056508,            0.079338,                   0,            0.064179,              0.8231,            0.072563,            0.020485,            0.099147,             0.65127,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.052704,            0.082886,                   0,            0.088018,             0.84477,             0.11787,            0.029307,            0.088859,             0.52189,                   0,            0.039558,           0.0025578,           0.0025578
                  16,             0.05221,              0.0757,                   0,              0.1326,             0.83755,             0.17158,            0.051944,            0.081938,             0.35112,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.049367,            0.075017,                   0,             0.13368,               0.787,              0.1581,            0.046274,            0.081357,             0.29698,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.049689,            0.070284,                   0,              0.1932,             0.79783,             0.26767,            0.080804,            0.074084,             0.25405,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.047246,            0.074507,                   0,             0.25927,              0.8231,             0.31108,            0.096972,            0.070532,             0.23704,                   0,            0.022956,            0.001956,            0.001956
                  20,            0.049883,            0.071499,                   0,             0.28822,             0.80144,             0.33378,             0.09402,            0.071824,             0.20936,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.047777,            0.062219,                   0,             0.35681,             0.76895,             0.40789,             0.12967,            0.063263,             0.15992,                   0,            0.014465,           0.0014651,           0.0014651
                  22,            0.044965,            0.067372,                   0,             0.40396,             0.80254,             0.47578,             0.16531,             0.05956,             0.13654,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.044843,             0.06851,                   0,             0.54105,             0.81588,             0.63454,             0.21707,            0.057047,             0.12261,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.044069,            0.064404,                   0,              0.6927,             0.81588,              0.7762,             0.27518,            0.054345,             0.10591,                   0,            0.001491,          0.00049104,          0.00049104
