               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11769,             0.10597,                   0,            0.036954,              0.1769,            0.016791,           0.0026752,             0.10748,             0.11486,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10236,             0.11202,                   0,            0.020386,             0.16606,            0.010152,           0.0021181,             0.12098,            0.086671,                   0,            0.093672,          0.00067228,          0.00067228
                   2,            0.093472,            0.086647,                   0,            0.045691,             0.37545,              0.0297,           0.0064274,             0.12233,             0.12521,                   0,            0.090013,           0.0010129,           0.0010129
                   3,            0.089767,            0.074565,                   0,            0.033085,              0.2852,            0.022366,           0.0052668,             0.12431,             0.50937,                   0,            0.086322,           0.0013218,           0.0013218
                   4,            0.083435,            0.072254,                   0,            0.042899,             0.15523,            0.020962,           0.0046039,             0.13389,             0.24419,                   0,            0.082599,            0.001599,            0.001599
                   5,             0.07615,            0.082151,                   0,            0.027577,             0.15884,            0.015357,            0.003544,             0.13579,             0.30823,                   0,            0.078845,           0.0018446,           0.0018446
                   6,            0.068184,            0.073908,                   0,            0.033832,              0.3935,            0.021846,           0.0056697,             0.13745,             0.52058,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.066188,            0.074698,                   0,            0.038703,              0.6426,            0.034021,            0.010213,             0.13391,             0.86669,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.070524,            0.076763,                   0,            0.044474,             0.61011,             0.03901,            0.010836,             0.12194,              0.6111,                   0,            0.067391,           0.0023912,           0.0023912
                   9,             0.06414,            0.077112,                   0,            0.024333,             0.52708,            0.018797,           0.0048908,             0.12776,              1.1663,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.059651,            0.081874,                   0,            0.040899,             0.70397,            0.038149,            0.010397,             0.12084,             0.82055,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.058704,            0.075769,                   0,               0.058,             0.56679,            0.047851,            0.013161,             0.11252,             0.40816,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.062125,            0.081932,                   0,            0.079354,             0.63177,             0.06951,            0.018522,              0.1068,             0.32849,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.054771,            0.070439,                   0,             0.06049,             0.60289,             0.05642,            0.015399,             0.10425,             0.47149,                   0,            0.047669,           0.0026686,           0.0026686
                  14,             0.05762,            0.080422,                   0,            0.064365,              0.7509,            0.073442,            0.020089,             0.10314,             0.54831,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.054502,            0.084332,                   0,            0.085942,               0.787,            0.094801,            0.027336,             0.09342,             0.42592,                   0,            0.039558,           0.0025578,           0.0025578
                  16,            0.051823,            0.075767,                   0,             0.11448,             0.77149,             0.12533,            0.037265,             0.08788,             0.33895,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.050694,            0.074871,                   0,             0.14068,             0.79061,             0.16749,            0.049098,             0.07969,              0.3143,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.051313,            0.070341,                   0,             0.17229,             0.83032,             0.19322,            0.060386,            0.075685,             0.24891,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.050213,             0.07438,                   0,             0.23261,             0.84153,             0.28399,             0.08698,            0.069604,             0.20294,                   0,            0.022956,            0.001956,            0.001956
                  20,            0.049789,            0.071913,                   0,             0.33659,             0.77617,             0.41486,             0.13845,            0.066347,             0.15761,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.050468,            0.061507,                   0,               0.334,             0.81292,             0.36283,             0.11616,             0.06458,             0.11577,                   0,            0.014465,           0.0014651,           0.0014651
                  22,            0.046916,            0.068386,                   0,             0.39791,             0.85921,             0.43419,             0.15652,            0.059788,             0.11104,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.046904,            0.068348,                   0,             0.49754,             0.87726,             0.54739,             0.20037,            0.056119,             0.11441,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,             0.04563,            0.065098,                   0,             0.59965,             0.87597,             0.65917,             0.23802,             0.05341,             0.10768,                   0,            0.001491,          0.00049104,          0.00049104
