               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10308,            0.092838,                   0,             0.12027,             0.27076,            0.064172,            0.012642,             0.12171,             0.14767,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.087189,            0.074079,                   0,            0.047707,             0.63177,            0.043209,            0.010303,             0.13091,             0.38017,                   0,            0.077401,            0.002401,            0.002401
                   2,            0.077488,            0.080344,                   0,            0.029672,             0.52347,            0.026374,           0.0066887,             0.13465,             0.84085,                   0,            0.065499,            0.003499,            0.003499
                   3,            0.078568,            0.080818,                   0,             0.03581,             0.68953,            0.036806,           0.0090703,             0.12135,             0.92751,                   0,            0.053494,           0.0044941,           0.0044941
                   4,            0.073677,            0.071934,                   0,             0.11602,            0.075812,            0.054723,            0.015246,             0.11973,             0.70778,                   0,            0.041386,           0.0053862,           0.0053862
                   5,            0.069606,            0.084018,                   0,            0.074637,             0.69314,            0.075299,            0.023145,             0.11357,             0.31964,                   0,            0.029175,           0.0061754,           0.0061754
                   6,            0.065734,            0.079285,                   0,             0.10136,             0.57401,             0.11126,             0.03348,             0.10058,              0.3787,                   0,            0.016862,           0.0068616,           0.0068616
                   7,            0.067855,            0.085862,                   0,             0.12036,             0.59567,             0.12978,            0.035877,            0.098244,             0.30823,                   0,            0.007228,            0.007228,            0.007228
                   8,            0.065403,            0.083177,                   0,             0.15064,             0.62455,             0.13592,            0.038844,            0.079837,             0.22722,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.062406,            0.077869,                   0,             0.19776,             0.51986,             0.17034,             0.04506,            0.082707,             0.23678,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.066983,            0.085341,                   0,             0.21608,             0.58845,             0.17329,            0.056325,            0.084627,             0.25649,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.061941,            0.080547,                   0,             0.33398,             0.55235,             0.32705,            0.091065,            0.077542,             0.15108,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.060504,            0.076182,                   0,             0.42344,             0.53069,             0.42597,             0.12353,            0.073415,              0.1271,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.059191,            0.079572,                   0,             0.52191,             0.74484,             0.60388,             0.19055,            0.064936,             0.10317,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.057642,             0.08169,                   0,             0.65749,             0.76895,             0.75738,             0.24684,            0.062416,            0.096122,                   0,            0.004852,            0.004852,            0.004852
                  15,             0.05667,            0.075492,                   0,             0.74305,             0.78297,             0.79913,             0.27056,            0.062804,            0.098525,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.054473,            0.070895,                   0,             0.62575,             0.77263,             0.76165,             0.26154,            0.056683,            0.087105,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.053519,            0.075667,                   0,              0.7246,              0.7504,             0.79938,             0.29795,            0.054547,            0.087627,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.054195,            0.074021,                   0,             0.80609,             0.79061,             0.85222,             0.31441,            0.055398,            0.084902,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.053742,            0.071495,                   0,             0.81839,             0.81341,             0.83056,             0.30937,            0.057069,            0.082007,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.052244,            0.077297,                   0,             0.88662,             0.84692,             0.89771,             0.38661,            0.050861,            0.078236,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.052348,            0.076526,                   0,             0.90427,             0.89531,              0.9294,             0.36298,            0.049448,            0.077665,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.050535,            0.071191,                   0,             0.92744,             0.88087,             0.93979,             0.41462,            0.044821,            0.076326,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.049041,             0.06932,                   0,             0.91532,             0.87726,              0.9249,             0.39979,            0.044653,            0.076106,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.049434,             0.06972,                   0,             0.94294,             0.89496,             0.94658,              0.4087,            0.043737,             0.07513,                   0,            0.000892,            0.000892,            0.000892
