               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10283,            0.080207,                   0,            0.052417,             0.23466,            0.025033,           0.0045348,             0.11798,            0.097104,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.090628,            0.065624,                   0,            0.019064,             0.32852,            0.012698,           0.0026128,             0.13865,             0.35776,                   0,            0.077401,            0.002401,            0.002401
                   2,            0.085036,            0.068873,                   0,               0.033,             0.49097,            0.026474,           0.0066613,             0.13635,             0.45386,                   0,            0.065499,            0.003499,            0.003499
                   3,            0.083395,            0.071609,                   0,            0.056087,             0.69675,            0.050615,            0.013209,              0.1267,             0.44156,                   0,            0.053494,           0.0044941,           0.0044941
                   4,            0.075968,            0.062837,                   0,            0.036114,             0.36823,            0.025892,           0.0065201,             0.11282,             0.39713,                   0,            0.041386,           0.0053862,           0.0053862
                   5,            0.073569,            0.073501,                   0,            0.076199,             0.36101,            0.056483,            0.016233,             0.10681,             0.26785,                   0,            0.029175,           0.0061754,           0.0061754
                   6,            0.070421,            0.067098,                   0,             0.10199,              0.7148,             0.10179,            0.030956,            0.094681,             0.22659,                   0,            0.016862,           0.0068616,           0.0068616
                   7,            0.068547,            0.070867,                   0,             0.14124,             0.59496,             0.14615,            0.040941,            0.092516,             0.30238,                   0,            0.007228,            0.007228,            0.007228
                   8,            0.066037,            0.072335,                   0,              0.2097,             0.63538,             0.20354,             0.05646,            0.087185,             0.14732,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.062976,            0.067218,                   0,              0.3257,              0.6065,             0.33745,             0.10322,            0.080614,             0.12108,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.065207,            0.074659,                   0,             0.44288,             0.75451,             0.47252,             0.17126,            0.072187,             0.14742,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.059945,            0.071546,                   0,             0.35432,              0.6993,             0.35931,             0.12869,            0.071478,             0.14562,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.059856,            0.067547,                   0,             0.40214,             0.69675,             0.40613,             0.13068,            0.071886,             0.13745,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.059523,            0.070363,                   0,             0.54185,             0.63899,              0.6142,             0.23655,            0.069061,             0.10709,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.057383,            0.070962,                   0,             0.65633,             0.81949,             0.67496,             0.25884,            0.061518,            0.082161,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.056365,            0.067329,                   0,             0.74434,             0.79061,             0.75159,             0.27875,            0.063031,            0.080269,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.055978,            0.062816,                   0,             0.80334,              0.8231,              0.8456,             0.31906,               0.057,            0.069372,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.053998,             0.06705,                   0,             0.82525,             0.85199,              0.8511,             0.35182,            0.054497,            0.067211,                   0,            0.003664,            0.003664,            0.003664
                  18,              0.0558,            0.065707,                   0,             0.77497,             0.84838,             0.83972,             0.34737,            0.054419,            0.066722,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.053372,            0.063003,                   0,             0.88049,             0.86282,             0.89266,              0.3718,            0.050196,            0.068594,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.051863,            0.067921,                   0,             0.83763,             0.83032,             0.88169,             0.35175,            0.050286,            0.070502,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.052764,            0.067626,                   0,             0.84135,             0.84241,             0.88245,             0.37478,            0.049448,            0.074187,                   0,             0.00208,             0.00208,             0.00208
                  22,              0.0514,            0.063238,                   0,             0.88779,             0.86282,             0.91532,             0.40172,            0.048958,            0.070159,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.048768,            0.061744,                   0,             0.92729,             0.87004,             0.93057,             0.42331,            0.047906,            0.065803,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.049851,            0.061207,                   0,             0.93239,             0.87726,             0.93924,             0.43127,            0.047536,            0.063751,                   0,            0.000892,            0.000892,            0.000892
