               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13016,            0.074721,                   0,          0.00066667,             0.01444,          0.00033898,          0.00010134,             0.12966,            0.064972,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12138,            0.082408,                   0,           0.0038333,            0.083032,           0.0020891,          0.00052409,             0.11638,             0.07283,                   0,            0.088249,           0.0012485,           0.0012485
                   2,              0.1105,            0.089261,                   0,              0.0135,             0.29242,            0.019571,           0.0033932,              0.1086,            0.080444,                   0,            0.081842,           0.0018416,           0.0018416
                   3,             0.10785,            0.082082,                   0,             0.27507,             0.32852,             0.18652,            0.036574,            0.098682,            0.075569,                   0,            0.075379,           0.0023792,           0.0023792
                   4,            0.097704,            0.066843,                   0,             0.10321,             0.45487,            0.078018,            0.016146,            0.093047,            0.084545,                   0,            0.068861,           0.0028614,           0.0028614
                   5,            0.091034,            0.069557,                   0,             0.11085,             0.52347,            0.090091,            0.023407,             0.10706,            0.093494,                   0,            0.062288,           0.0032882,           0.0032882
                   6,            0.084212,            0.062943,                   0,             0.13169,             0.38989,             0.10891,            0.031156,             0.09579,            0.088867,                   0,             0.05566,           0.0036595,           0.0036595
                   7,            0.081525,            0.065561,                   0,            0.064829,             0.15162,            0.039994,           0.0089511,            0.099088,            0.083942,                   0,            0.048975,           0.0039754,           0.0039754
                   8,            0.078701,            0.066355,                   0,             0.12992,             0.40591,             0.10218,            0.023503,            0.083231,            0.076515,                   0,            0.042236,           0.0042358,           0.0042358
                   9,            0.075205,             0.06486,                   0,             0.22451,             0.43682,             0.19715,            0.043436,            0.083409,            0.075565,                   0,            0.035441,           0.0044408,           0.0044408
                  10,            0.076989,            0.068479,                   0,             0.34892,             0.63071,             0.39918,             0.11872,            0.076159,            0.073265,                   0,             0.02859,           0.0045904,           0.0045904
                  11,            0.072198,            0.067261,                   0,             0.23203,             0.50903,             0.21592,             0.05037,            0.077477,            0.070332,                   0,            0.021685,           0.0046845,           0.0046845
                  12,            0.071243,              0.0657,                   0,             0.33543,             0.60131,              0.3561,             0.12586,            0.070905,            0.068947,                   0,            0.014723,           0.0047232,           0.0047232
                  13,            0.067715,            0.069688,                   0,             0.38724,             0.55235,             0.37876,              0.1214,            0.072383,            0.074718,                   0,           0.0077064,           0.0047064,           0.0047064
                  14,            0.070088,            0.070288,                   0,             0.49832,              0.6065,             0.54798,             0.17215,            0.064533,            0.068275,                   0,            0.004456,            0.004456,            0.004456
                  15,            0.065641,            0.065712,                   0,             0.47509,             0.65343,             0.49305,             0.14323,             0.06341,            0.067482,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.066024,            0.062041,                   0,             0.41767,             0.65343,              0.4834,             0.18488,            0.072361,            0.067703,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.062117,            0.069435,                   0,             0.49404,              0.6787,             0.56586,             0.23067,             0.06461,            0.067123,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.058926,            0.064991,                   0,             0.51928,             0.67509,             0.58285,             0.22166,            0.062451,            0.068588,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.057185,            0.063457,                   0,             0.54593,             0.71618,             0.61741,             0.25365,            0.058447,            0.066872,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.053641,            0.069451,                   0,             0.78232,              0.8044,             0.79623,             0.31939,            0.047772,            0.067238,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.049912,            0.068382,                   0,             0.65103,             0.76895,             0.73017,             0.30019,            0.051479,            0.067833,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.049979,            0.062882,                   0,             0.57673,             0.79687,             0.66716,             0.29881,            0.049618,            0.066898,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.047407,            0.063208,                   0,             0.71874,             0.84116,             0.77308,             0.35814,            0.044695,            0.065804,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.047931,            0.064221,                   0,              0.7399,             0.84211,             0.82598,             0.36857,            0.044727,             0.06559,                   0,            0.000892,            0.000892,            0.000892
