               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.084429,                   0,               0.004,            0.086643,           0.0025466,          0.00059345,             0.11547,            0.097885,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10353,             0.09408,                   0,            0.092526,             0.33213,            0.043868,            0.010232,              0.1199,             0.14347,                   0,            0.093672,          0.00067228,          0.00067228
                   2,             0.08914,            0.073354,                   0,            0.053981,             0.30686,            0.034313,           0.0086176,             0.13392,             0.14109,                   0,            0.090013,           0.0010129,           0.0010129
                   3,             0.08882,            0.064641,                   0,            0.015259,             0.24188,            0.010744,           0.0021456,             0.14207,             0.37392,                   0,            0.086322,           0.0013218,           0.0013218
                   4,            0.082794,            0.061735,                   0,            0.016735,              0.3574,            0.014559,            0.002886,              0.1444,              1.2386,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.078814,            0.070511,                   0,            0.013605,             0.16606,           0.0091032,           0.0017223,             0.14185,              3.4231,                   0,            0.078845,           0.0018446,           0.0018446
                   6,            0.073619,            0.065942,                   0,            0.012833,             0.27798,           0.0082344,           0.0019841,             0.14208,              1.5643,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.075732,            0.064159,                   0,               0.009,             0.19495,           0.0054784,           0.0010185,             0.13681,              3.1802,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.070608,            0.067678,                   0,            0.010667,             0.23105,           0.0070946,           0.0017455,             0.13585,              3.4458,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.069354,            0.068276,                   0,            0.027833,             0.60289,            0.022506,           0.0058162,              0.1292,              1.2935,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.070106,            0.067826,                   0,               0.017,             0.36823,            0.012581,           0.0030442,             0.13075,              1.4272,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.069128,             0.06694,                   0,            0.039605,             0.73646,            0.036069,            0.010911,             0.11989,             0.98505,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.066746,            0.072103,                   0,            0.092077,             0.15523,            0.055747,            0.013439,             0.11449,              0.5426,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.061315,            0.064906,                   0,            0.053963,             0.58123,            0.057763,            0.015373,             0.10388,             0.53992,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.058099,            0.071263,                   0,             0.23704,             0.11552,             0.12074,            0.026333,            0.092736,              0.5195,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.057681,            0.075758,                   0,            0.095215,             0.79422,             0.16241,            0.042828,            0.087429,             0.44495,                   0,            0.039558,           0.0025578,           0.0025578
                  16,            0.056443,            0.067431,                   0,             0.16401,             0.84116,             0.23695,            0.063712,             0.08159,             0.32944,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.055239,            0.067745,                   0,             0.22268,             0.76534,             0.27906,            0.083297,            0.077754,             0.19617,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.053356,            0.062761,                   0,             0.24005,              0.7509,             0.28761,            0.085626,            0.078414,             0.16881,                   0,            0.027154,            0.002154,            0.002154
                  19,             0.05264,            0.066446,                   0,             0.32264,             0.76173,             0.40265,             0.11228,            0.071686,              0.1487,                   0,            0.022956,            0.001956,            0.001956
                  20,            0.048413,            0.063461,                   0,             0.39832,             0.79783,             0.54972,              0.1779,            0.066129,             0.13287,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.052269,            0.056182,                   0,             0.33971,             0.74368,             0.40669,             0.12997,            0.065438,              0.1172,                   0,            0.014465,           0.0014651,           0.0014651
                  22,             0.05031,            0.062099,                   0,              0.4617,             0.71841,             0.61675,             0.19135,            0.059798,            0.099586,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.049967,            0.061026,                   0,             0.66125,             0.80144,             0.80354,             0.28921,            0.056868,            0.091042,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.048572,             0.05803,                   0,             0.72466,             0.81949,             0.84902,             0.33385,            0.054901,             0.08284,                   0,            0.001491,          0.00049104,          0.00049104
