               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12834,            0.092766,                   0,                   0,                   0,                   0,                   0,             0.12692,            0.081321,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11802,             0.10101,                   0,           0.0073333,             0.15884,           0.0043096,          0.00099031,             0.11154,            0.091154,                   0,            0.088249,           0.0012485,           0.0012485
                   2,              0.1053,             0.11007,                   0,              0.1329,             0.27798,            0.074482,            0.014591,            0.098692,            0.094647,                   0,            0.081842,           0.0018416,           0.0018416
                   3,             0.10052,            0.094619,                   0,              0.2594,             0.38267,             0.20979,            0.040748,            0.093281,            0.087759,                   0,            0.075379,           0.0023792,           0.0023792
                   4,            0.092446,            0.076469,                   0,               0.275,             0.54499,             0.22185,            0.049137,            0.089231,            0.095021,                   0,            0.068861,           0.0028614,           0.0028614
                   5,             0.08889,            0.079597,                   0,             0.10314,             0.61372,            0.088823,            0.024921,             0.10058,              0.1113,                   0,            0.062288,           0.0032882,           0.0032882
                   6,            0.081211,            0.070727,                   0,             0.38825,              0.6065,             0.35571,            0.091352,            0.086226,            0.086045,                   0,             0.05566,           0.0036595,           0.0036595
                   7,            0.080051,            0.074946,                   0,             0.23534,             0.37184,             0.23021,            0.052741,            0.084038,            0.085803,                   0,            0.048975,           0.0039754,           0.0039754
                   8,            0.078628,            0.075016,                   0,             0.30326,             0.42238,             0.29738,            0.085749,            0.080247,            0.084847,                   0,            0.042236,           0.0042358,           0.0042358
                   9,            0.075021,            0.072953,                   0,             0.17179,             0.51986,             0.16893,            0.050036,            0.093994,            0.081178,                   0,            0.035441,           0.0044408,           0.0044408
                  10,            0.078014,            0.077576,                   0,             0.38447,             0.52315,             0.43297,             0.14087,            0.083788,            0.080233,                   0,             0.02859,           0.0045904,           0.0045904
                  11,            0.070256,            0.074908,                   0,             0.30165,             0.54152,             0.28611,            0.080017,            0.073257,             0.08148,                   0,            0.021685,           0.0046845,           0.0046845
                  12,            0.070639,            0.074831,                   0,             0.34295,             0.68231,             0.38181,             0.13427,            0.069961,            0.080596,                   0,            0.014723,           0.0047232,           0.0047232
                  13,            0.068863,            0.077004,                   0,             0.33996,             0.59206,             0.42203,             0.12398,            0.072124,            0.085391,                   0,           0.0077064,           0.0047064,           0.0047064
                  14,            0.068823,            0.078093,                   0,             0.44242,             0.67509,              0.5253,             0.17173,            0.068947,             0.07903,                   0,            0.004456,            0.004456,            0.004456
                  15,            0.065429,            0.074785,                   0,             0.51555,             0.67509,             0.62974,             0.21537,            0.066234,            0.078684,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.062834,            0.070529,                   0,             0.55519,             0.72096,             0.65182,             0.25086,            0.058977,            0.078662,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.058939,            0.077823,                   0,               0.591,             0.69314,             0.67378,             0.25574,             0.06298,            0.076783,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.056382,            0.072149,                   0,             0.58716,             0.72924,             0.66262,             0.25896,            0.059417,            0.079514,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.055973,            0.069502,                   0,             0.52536,             0.72924,              0.6254,             0.22879,            0.054454,            0.077739,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.052109,            0.076864,                   0,             0.64188,             0.84116,             0.75321,             0.28995,            0.048857,            0.077388,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.048425,            0.074977,                   0,              0.5585,             0.73525,             0.68066,              0.2743,            0.051674,            0.078651,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.048685,            0.069678,                   0,             0.56157,             0.79061,             0.70646,             0.29925,            0.048585,            0.077022,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.045987,            0.069295,                   0,             0.67914,             0.84116,             0.79148,             0.34769,            0.044882,            0.076317,                   0,            0.001288,            0.001288,            0.001288
                  24,             0.04611,            0.070053,                   0,             0.80889,             0.87099,              0.8621,             0.38196,            0.042032,            0.075701,                   0,            0.000892,            0.000892,            0.000892
