               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,            0.084429,                   0,               0.004,            0.086643,           0.0025374,          0.00058181,             0.11572,             0.09774,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10367,            0.094062,                   0,            0.088315,             0.30325,            0.045012,            0.010723,             0.12145,              0.1571,                   0,            0.093672,          0.00067228,          0.00067228
                   2,            0.089555,            0.073394,                   0,            0.061093,             0.31078,            0.040696,            0.010625,             0.13558,               0.114,                   0,            0.090013,           0.0010129,           0.0010129
                   3,             0.08934,            0.063423,                   0,            0.013714,               0.213,           0.0076254,           0.0012984,             0.14258,             0.31055,                   0,            0.086322,           0.0013218,           0.0013218
                   4,            0.086555,             0.06053,                   0,            0.012392,             0.25271,           0.0084749,           0.0019805,             0.14527,              1.0432,                   0,            0.082599,            0.001599,            0.001599
                   5,            0.077745,            0.068992,                   0,           0.0082873,             0.15162,           0.0047137,           0.0010263,                 nan,                 nan,                   0,            0.078845,           0.0018446,           0.0018446
                   6,             0.07521,            0.063586,                   0,                   0,                   0,                   0,                   0,             0.14916,              3.5354,                   0,            0.075058,           0.0020585,           0.0020585
                   7,            0.071204,            0.064571,                   0,            0.011833,             0.25632,           0.0083072,           0.0021371,             0.13774,              2.2135,                   0,            0.071241,           0.0022407,           0.0022407
                   8,            0.069424,             0.06723,                   0,            0.013353,             0.13357,           0.0070965,            0.001505,             0.13391,              2.4102,                   0,            0.067391,           0.0023912,           0.0023912
                   9,            0.064377,            0.067832,                   0,            0.039831,             0.16968,            0.027802,           0.0070529,             0.13418,              1.2976,                   0,             0.06351,             0.00251,             0.00251
                  10,            0.064104,            0.070915,                   0,            0.029167,             0.63177,            0.025878,           0.0064848,             0.12764,              1.3044,                   0,            0.059597,           0.0025972,           0.0025972
                  11,            0.064481,            0.067837,                   0,            0.039421,              0.1769,            0.032724,            0.007702,             0.12455,              1.0908,                   0,            0.055653,           0.0026527,           0.0026527
                  12,            0.067714,            0.071409,                   0,            0.037374,              0.2491,            0.040454,            0.011128,             0.11199,             0.86182,                   0,            0.051676,           0.0026765,           0.0026765
                  13,            0.059366,            0.063638,                   0,            0.082524,             0.18412,            0.062847,            0.015039,             0.10778,             0.70245,                   0,            0.047669,           0.0026686,           0.0026686
                  14,            0.057753,            0.071005,                   0,             0.14208,             0.28159,            0.099008,            0.024065,             0.10351,             0.57001,                   0,            0.043629,            0.002629,            0.002629
                  15,            0.057356,            0.076538,                   0,             0.18992,              0.1769,             0.12985,            0.032745,            0.095492,             0.44977,                   0,            0.039558,           0.0025578,           0.0025578
                  16,             0.05462,             0.06741,                   0,             0.13057,             0.80866,             0.24839,            0.062516,            0.085519,             0.33315,                   0,            0.035455,           0.0024549,           0.0024549
                  17,            0.054126,            0.067417,                   0,             0.17459,             0.74729,             0.25405,            0.063315,            0.080332,             0.24881,                   0,             0.03132,           0.0023203,           0.0023203
                  18,            0.054753,            0.061983,                   0,             0.18413,             0.80866,              0.2292,            0.064227,            0.078978,             0.19023,                   0,            0.027154,            0.002154,            0.002154
                  19,            0.052047,             0.06645,                   0,             0.25693,             0.77978,             0.42289,             0.12139,            0.075322,             0.16975,                   0,            0.022956,            0.001956,            0.001956
                  20,             0.04722,            0.063006,                   0,             0.28408,             0.75451,             0.35645,             0.10323,            0.070134,             0.14778,                   0,            0.018726,           0.0017264,           0.0017264
                  21,            0.051095,            0.054365,                   0,             0.27859,             0.70758,             0.33772,             0.10469,            0.068077,             0.12471,                   0,            0.014465,           0.0014651,           0.0014651
                  22,            0.049995,            0.060954,                   0,             0.38216,              0.7148,             0.45541,             0.15852,             0.06209,             0.11169,                   0,            0.010172,           0.0011721,           0.0011721
                  23,            0.050277,             0.06093,                   0,             0.48148,             0.82671,             0.56331,             0.19921,            0.058031,             0.10014,                   0,           0.0058474,           0.0008474,           0.0008474
                  24,            0.048802,            0.057571,                   0,             0.57921,             0.85471,             0.66118,             0.25012,            0.054916,             0.08699,                   0,            0.001491,          0.00049104,          0.00049104
